Matricule,Qualité,Nom usuel,Prénom usuel,État Sénateur,Identifiant mandat,Date d'élection,Date de début de mandat,Année de début de mandat,Motif début de mandat,Date de fin de mandat,Année de fin de mandat,Motif fin de mandat,Commentaire
000602,M.,Hamecher,Marceau,ANCIEN,2936,1977-09-25 00:00:00.0,1977-10-03 00:00:00.0,,Election,1978-08-27 00:00:00.0,,Décédé,
86031B,M.,Hamel,Emmanuel,ANCIEN,279,1986-09-28 00:00:00.0,1986-10-02 00:00:00.0,,Election,1995-10-01 00:00:00.0,,Fin de mandat,
86031B,M.,Hamel,Emmanuel,ANCIEN,280,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Renouvellement 1,2003-11-04 00:00:00.0,2003,Décédé,
58115W,M.,Hammann,Jean-Paul,ANCIEN,2938,,1978-05-07 00:00:00.0,,Remplace,1981-07-28 00:00:00.0,,Démissionnaire,"En remplacement de M. Daniel HOEFFEL, nommé membre du Gouvernement"
58115W,M.,Hammann,Jean-Paul,ANCIEN,2940,,1993-05-01 00:00:00.0,,Remplace,1995-09-24 00:00:00.0,,Ne se représente pas,"En remplacement de M. Daniel HOEFFEL, nommé membre du Gouvernement"
000218,M.,Hamon,Yves,ANCIEN,2942,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Election,1962-10-01 00:00:00.0,,Fin de mandat,
000218,M.,Hamon,Yves,ANCIEN,2943,1962-09-23 00:00:00.0,1962-10-02 00:00:00.0,,Renouvellement,1971-10-01 00:00:00.0,,Ne se représente pas,
19725B,Mme,Harribey,Laurence,ACTIF,51464,,2017-10-01 00:00:00.0,,Remplace,2020-09-30 00:00:00.0,,Fin de mandat,"en remplacement de M. Alain Anziani, démissionnaire de son mandat"
19725B,Mme,Harribey,Laurence,ACTIF,51971,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Renouvellement,,,En Cours,
19329S,M.,Hassani,Abdallah,ACTIF,51217,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
95037J,M.,Haut,Claude,ANCIEN,281,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Election,1996-05-02 00:00:00.0,,Annulé par CC,
95037J,M.,Haut,Claude,ANCIEN,283,,1996-06-23 00:00:00.0,,Election,2004-09-30 00:00:00.0,,Fin de mandat,
95037J,M.,Haut,Claude,ANCIEN,11013,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Renouvellement 1,2014-09-30 00:00:00.0,,Fin de mandat,
95037J,M.,Haut,Claude,ANCIEN,14176,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Renouvellement 2,2020-09-30 00:00:00.0,,Ne se représente pas,
20106U,Mme,Havet,Nadège,ACTIF,51931,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Election,,,En Cours,
20128B,M.,Haye,Ludovic,ACTIF,51958,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Election,,,En Cours,
000406,M.,Heder,Léopold,ANCIEN,2951,1971-09-26 00:00:00.0,1971-10-02 00:00:00.0,,Election,1978-06-09 00:00:00.0,,Décédé,
92025R,Mme,Heinis,Anne,ANCIEN,284,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Election,2001-09-23 00:00:00.0,,Non réélu,
000185,M.,Henneguelle,Henri,ANCIEN,2953,,1967-04-03 00:00:00.0,,Remplace,1974-10-01 00:00:00.0,,Ne se représente pas,"En remplacement de M. Bernard CHOCHOY, député"
01033N,Mme,Henneron,Françoise,ANCIEN,6443,2001-09-23 00:00:00.0,2001-10-01 00:00:00.0,,Election,2011-09-30 00:00:00.0,,Non réélu,
19569H,M.,Henno,Olivier,ACTIF,51224,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
000110,M.,Henriet,Jacques,ANCIEN,2955,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Election,1962-10-01 00:00:00.0,,Fin de mandat,
000110,M.,Henriet,Jacques,ANCIEN,2956,1962-09-23 00:00:00.0,1962-10-02 00:00:00.0,,Renouvellement 1,1971-10-01 00:00:00.0,,Fin de mandat,
000110,M.,Henriet,Jacques,ANCIEN,2957,1971-09-26 00:00:00.0,1971-10-02 00:00:00.0,,Renouvellement 2,1980-10-01 00:00:00.0,,Ne se représente pas,
77028F,M.,Henry,Marcel,ANCIEN,285,1977-09-25 00:00:00.0,1977-10-02 00:00:00.0,,Election,1986-10-01 00:00:00.0,,Fin de mandat,
77028F,M.,Henry,Marcel,ANCIEN,286,1986-09-28 00:00:00.0,1986-10-02 00:00:00.0,,Renouvellement 1,1995-10-01 00:00:00.0,,Fin de mandat,
77028F,M.,Henry,Marcel,ANCIEN,287,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Renouvellement 2,2004-09-30 00:00:00.0,,Ne se représente pas,
000243,M.,Heon,Gustave,ANCIEN,2960,1962-09-23 00:00:00.0,1962-10-02 00:00:00.0,,Election,1971-10-01 00:00:00.0,,Fin de mandat,
000243,M.,Heon,Gustave,ANCIEN,2961,1971-09-26 00:00:00.0,1971-10-02 00:00:00.0,,Renouvellement 1,1980-10-01 00:00:00.0,,Fin de mandat,
000243,M.,Heon,Gustave,ANCIEN,2962,1980-09-28 00:00:00.0,1980-10-02 00:00:00.0,,Renouvellement 2,1981-09-29 00:00:00.0,,Décédé,
95038K,M.,Hérisson,Pierre,ANCIEN,288,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Election,2004-09-30 00:00:00.0,,Fin de mandat,
95038K,M.,Hérisson,Pierre,ANCIEN,10758,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Renouvellement 1,2014-09-30 00:00:00.0,,Ne se représente pas,
04075M,Mme,Hermange,Marie-Thérèse,ANCIEN,10933,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Election,2011-09-30 00:00:00.0,,Ne se représente pas,
74022L,M.,Herment,Rémi,ANCIEN,289,1974-09-22 00:00:00.0,1974-10-02 00:00:00.0,,Election,1983-10-02 00:00:00.0,,Fin de mandat,
74022L,M.,Herment,Rémi,ANCIEN,290,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Renouvellement 1,1992-10-01 00:00:00.0,,Fin de mandat,
74022L,M.,Herment,Rémi,ANCIEN,291,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Renouvellement 2,2001-09-30 00:00:00.0,,Ne se représente pas,
08027V,M.,Hervé,Edmond,ANCIEN,11583,2008-09-21 00:00:00.0,2008-10-01 00:00:00.0,,Election,2014-09-30 00:00:00.0,,Ne se représente pas,
14179A,M.,Hervé,Loïc,ACTIF,14185,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2020-09-30 00:00:00.0,,Fin de mandat,
14179A,M.,Hervé,Loïc,ACTIF,51912,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Renouvellement,,,En Cours,
01022K,Mme,Herviaux,Odette,ANCIEN,6407,2001-09-23 00:00:00.0,2001-10-01 00:00:00.0,,Election,2011-09-30 00:00:00.0,,Fin de mandat,
01022K,Mme,Herviaux,Odette,ANCIEN,12443,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Renouvellement 1,2017-10-01 00:00:00.0,,Non réélu,
19685L,Mme,Herzog,Christine,ACTIF,51186,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
97008M,M.,Hesling,Roger,ANCIEN,292,,1997-07-05 00:00:00.0,,Remplace,2001-09-30 00:00:00.0,,Ne se représente pas,En remplacement de M. Jean-Pierre Masseret nommé membre du Gouvernement
00004D,M.,Hethener,Alain,ANCIEN,5868,,2000-04-29 00:00:00.0,,Remplace,2001-09-30 00:00:00.0,,Non réélu,"En remplacement de M. Roger Husson, décédé"
20048C,M.,Hingray,Jean,ACTIF,51862,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Election,,,En Cours,
05001W,Mme,Hoarau,Gélita,ANCIEN,11128,,2005-02-24 00:00:00.0,,Remplace,2011-09-30 00:00:00.0,,Non réélu,"En remplacement de M. Paul Vergès, élu député au Parlement européen"
05001W,Mme,Hoarau,Gélita,ANCIEN,15333,,2016-11-13 00:00:00.0,,Remplace,2017-10-01 00:00:00.0,,Non réélu,"En remplacement de M. Paul Vergès, décédé"
77029G,M.,Hoeffel,Daniel,ANCIEN,293,1977-09-25 00:00:00.0,1977-10-02 00:00:00.0,,Election,1978-05-05 00:00:00.0,,Membre Gouvernement,
77029G,M.,Hoeffel,Daniel,ANCIEN,295,1981-09-27 00:00:00.0,1981-10-02 00:00:00.0,,Election,1986-10-01 00:00:00.0,,Fin de mandat,
77029G,M.,Hoeffel,Daniel,ANCIEN,296,1986-09-28 00:00:00.0,1986-10-02 00:00:00.0,,Renouvellement,1993-04-29 00:00:00.0,,Membre Gouvernement,
77029G,M.,Hoeffel,Daniel,ANCIEN,298,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Election,2004-09-30 00:00:00.0,,Non réélu,
000732,M.,Houdet,Roger,ANCIEN,5512,,1958-06-08 00:00:00.0,,Renouvellement 1,1959-04-27 00:00:00.0,,Fin de mandat,
000732,M.,Houdet,Roger,ANCIEN,5513,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Renouvellement 2,1968-10-01 00:00:00.0,,Fin de mandat,
000732,M.,Houdet,Roger,ANCIEN,5514,1968-09-22 00:00:00.0,1968-10-02 00:00:00.0,,Renouvellement 3,1977-10-02 00:00:00.0,,Ne se représente pas,
04048J,M.,Houel,Michel,ANCIEN,10836,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Election,2011-09-30 00:00:00.0,,Fin de mandat,
04048J,M.,Houel,Michel,ANCIEN,12725,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Renouvellement 1,2016-11-30 00:00:00.0,,Décédé,
19333N,M.,Houllegatte,Jean-Michel,ACTIF,51086,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
08069G,M.,Houpert,Alain,ACTIF,11773,2008-09-21 00:00:00.0,2008-10-01 00:00:00.0,,Election,2014-09-30 00:00:00.0,,Fin de mandat,
08069G,M.,Houpert,Alain,ACTIF,14096,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Renouvellement,2020-09-30 00:00:00.0,,Fin de mandat,
08069G,M.,Houpert,Alain,ACTIF,51900,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Renouvellement 2,,,En Cours,
83035S,M.,Huchon,Jean,ANCIEN,299,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Election,1992-10-01 00:00:00.0,,Fin de mandat,
83035S,M.,Huchon,Jean,ANCIEN,300,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Renouvellement 1,2001-09-30 00:00:00.0,,Ne se représente pas,
04078Q,M.,Hue,Robert,ANCIEN,10950,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Election,2011-09-30 00:00:00.0,,Fin de mandat,
04078Q,M.,Hue,Robert,ANCIEN,12686,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Renouvellement 1,2017-10-01 00:00:00.0,,Ne se représente pas,
80021X,M.,Hugo,Bernard Charles,ANCIEN,301,1980-09-28 00:00:00.0,1980-10-02 00:00:00.0,,Election,1989-10-01 00:00:00.0,,Fin de mandat,
80021X,M.,Hugo,Bernard Charles,ANCIEN,302,1989-09-24 00:00:00.0,1989-10-02 00:00:00.0,,Renouvellement 1,1998-09-30 00:00:00.0,,Ne se représente pas,
58644T,M.,Hugo,Bernard Michel,ANCIEN,2964,1977-09-25 00:00:00.0,1977-10-03 00:00:00.0,,Election,1986-10-01 00:00:00.0,,Non réélu,
19399H,M.,Hugonet,Jean-Raymond,ACTIF,51203,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
92026S,M.,Hugot,Jean-Paul,ANCIEN,303,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Election,2001-09-30 00:00:00.0,,Ne se représente pas,
000040,M.,Hugues,Emile,ANCIEN,2966,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Election,1962-10-01 00:00:00.0,,Fin de mandat,
000040,M.,Hugues,Emile,ANCIEN,2967,1962-09-23 00:00:00.0,1962-10-02 00:00:00.0,,Renouvellement,1966-02-10 00:00:00.0,,Décédé,
92027T,M.,Huguet,Roland,ANCIEN,304,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Election,2001-09-23 00:00:00.0,,Ne se représente pas,
98028V,M.,Humbert,Jean-François,ANCIEN,5113,1998-09-27 00:00:00.0,1998-10-01 00:00:00.0,,Election,2008-09-30 00:00:00.0,,Fin de mandat,
98028V,M.,Humbert,Jean-François,ANCIEN,11763,2008-09-21 00:00:00.0,2008-10-01 00:00:00.0,,Renouvellement 1,2014-09-30 00:00:00.0,,Ne se représente pas,
04041B,Mme,Hummel,Christiane,ANCIEN,10805,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Election,2014-09-30 00:00:00.0,,Fin de mandat,
04041B,Mme,Hummel,Christiane,ANCIEN,14237,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Renouvellement,2017-09-22 00:00:00.0,,Démissionnaire,
04097T,M.,Huré,Benoît,ANCIEN,11091,,2004-10-19 00:00:00.0,,Remplace,2008-09-30 00:00:00.0,,Fin de mandat,"En remplacement de M. Hilaire Flandre, décédé"
04097T,M.,Huré,Benoît,ANCIEN,11690,2008-09-21 00:00:00.0,2008-10-01 00:00:00.0,,Renouvellement 1,2014-09-30 00:00:00.0,,Fin de mandat,
04097T,M.,Huré,Benoît,ANCIEN,14048,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Renouvellement,2020-09-30 00:00:00.0,,Non réélu,
04068N,Mme,Hurel,Sandrine,ANCIEN,10906,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Election,2007-06-28 00:00:00.0,,Élu député,
83036T,M.,Huriet,Claude,ANCIEN,305,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Election,1992-10-01 00:00:00.0,,Fin de mandat,
83036T,M.,Huriet,Claude,ANCIEN,306,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Renouvellement 1,2001-09-30 00:00:00.0,,Non réélu,
11048N,M.,Husson,Jean-François,ACTIF,12615,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Election,2017-10-01 00:00:00.0,,Fin de mandat,
11048N,M.,Husson,Jean-François,ACTIF,51128,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Renouvellement,,,En Cours,
83037U,M.,Husson,Roger,ANCIEN,307,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Election,1992-10-01 00:00:00.0,,Fin de mandat,
83037U,M.,Husson,Roger,ANCIEN,308,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Renouvellement 1,2000-04-28 00:00:00.0,,Décédé,
95039L,M.,Hyest,Jean-Jacques,ANCIEN,309,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Election,2004-09-30 00:00:00.0,,Fin de mandat,
95039L,M.,Hyest,Jean-Jacques,ANCIEN,10832,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Renouvellement 1,2011-09-30 00:00:00.0,,Fin de mandat,
95039L,M.,Hyest,Jean-Jacques,ANCIEN,12723,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Renouvellement 2,2015-10-11 00:00:00.0,,Nommé membre CC,
19591F,M.,Iacovelli,Xavier,ACTIF,51302,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
04062G,M.,Ibrahim Ramadani,Soibahadine,ANCIEN,10883,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Election,2011-09-30 00:00:00.0,,Non réélu,
14213J,Mme,Imbert,Corinne,ACTIF,14110,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2020-09-30 00:00:00.0,,Fin de mandat,
14213J,Mme,Imbert,Corinne,ACTIF,51882,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Renouvellement,,,En Cours,
14044W,Mme,Iriti,Teura,ANCIEN,14320,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2015-02-06 00:00:00.0,,Annulé par CC,
000273,M.,Isautier,Alfred,ANCIEN,2969,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Election,1965-10-01 00:00:00.0,,Fin de mandat,
000273,M.,Isautier,Alfred,ANCIEN,2970,1965-09-26 00:00:00.0,1965-10-02 00:00:00.0,,Renouvellement,1974-10-01 00:00:00.0,,Ne se représente pas,
20066E,Mme,Jacquemet,Annick,ACTIF,51886,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Election,,,En Cours,
20034V,Mme,Jacques,Micheline,ACTIF,51851,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Election,,,En Cours,
000308,M.,Jacquet,Marc,ANCIEN,2973,1977-09-25 00:00:00.0,1977-10-03 00:00:00.0,,Election,1983-04-18 00:00:00.0,,Décédé,
19551W,M.,Jacquin,Olivier,ACTIF,51126,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
000403,M.,Jaffar El Amjad,Said Mohamed,ANCIEN,9543,1973-04-08 00:00:00.0,1973-04-08 00:00:00.0,,Election,1975-11-06 00:00:00.0,,Démissionnaire,
000207,M.,Jager,René,ANCIEN,2975,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Election,1965-10-01 00:00:00.0,,Fin de mandat,
000207,M.,Jager,René,ANCIEN,2976,1965-09-26 00:00:00.0,1965-10-02 00:00:00.0,,Renouvellement 1,1974-10-01 00:00:00.0,,Fin de mandat,
000207,M.,Jager,René,ANCIEN,2977,1974-09-22 00:00:00.0,1974-10-02 00:00:00.0,,Renouvellement 2,1983-07-28 00:00:00.0,,Décédé,
000680,M.,Jamain,Eugène,ANCIEN,5517,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Election,1962-10-01 00:00:00.0,,Fin de mandat,
000680,M.,Jamain,Eugène,ANCIEN,5518,1962-09-23 00:00:00.0,1962-10-02 00:00:00.0,,Renouvellement,1970-10-24 00:00:00.0,,Décédé,
000630,M.,Janetti,Maurice,ANCIEN,2979,,1978-01-03 00:00:00.0,,Remplace,1986-04-02 00:00:00.0,,Élu député,"En remplacement de M. Pierre Gaudin, décédé"
19511N,M.,Janssens,Jean-Marie,ACTIF,51284,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
58348N,M.,Jargot,Paul,ANCIEN,2981,1974-09-22 00:00:00.0,1974-10-02 00:00:00.0,,Election,1983-10-02 00:00:00.0,,Non réélu,
98027U,M.,Jarlier,Pierre,ANCIEN,5109,1998-09-27 00:00:00.0,1998-10-01 00:00:00.0,,Election,2008-09-30 00:00:00.0,,Fin de mandat,
98027U,M.,Jarlier,Pierre,ANCIEN,11501,2008-09-21 00:00:00.0,2008-10-01 00:00:00.0,,Renouvellement 1,2014-09-30 00:00:00.0,,Fin de mandat,
98027U,M.,Jarlier,Pierre,ANCIEN,14059,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Renouvellement,2015-06-11 00:00:00.0,,Démissionné d'office par le Conseil constitutionnel,
06001B,Mme,Jarraud-Vergnolle,Annie,ANCIEN,11188,,2006-05-17 00:00:00.0,,Remplace,2011-09-30 00:00:00.0,,Non réélu,"En remplacement de M. André Labarrère, décédé"
59539X,M.,Jarrot,André,ANCIEN,2983,1986-09-28 00:00:00.0,1986-10-02 00:00:00.0,,Election,1995-10-01 00:00:00.0,,Ne se représente pas,
19715Y,Mme,Jasmin,Victoire,ACTIF,51362,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
000171,M.,Javelly,Maxime,ANCIEN,2985,,1969-08-23 00:00:00.0,,Remplace,1971-10-01 00:00:00.0,,Fin de mandat,En remplacement de M. Emile AUBERT
000171,M.,Javelly,Maxime,ANCIEN,2986,1971-09-26 00:00:00.0,1971-10-02 00:00:00.0,,Renouvellement,1980-09-28 00:00:00.0,,Ne se représente pas,
74024N,M.,Jeambrun,Pierre,ANCIEN,310,1974-09-22 00:00:00.0,1974-10-02 00:00:00.0,,Election,1983-10-02 00:00:00.0,,Fin de mandat,
74024N,M.,Jeambrun,Pierre,ANCIEN,311,1983-09-25 00:00:00.0,1983-10-03 00:00:00.0,,Renouvellement 1,1992-10-01 00:00:00.0,,Fin de mandat,
74024N,M.,Jeambrun,Pierre,ANCIEN,312,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Renouvellement 2,2001-02-07 00:00:00.0,2001,Décédé,
14233N,Mme,Jean,Geneviève,ANCIEN,14177,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2015-02-12 00:00:00.0,,Annulé par CC,
08067E,M.,Jeannerot,Claude,ANCIEN,11765,2008-09-21 00:00:00.0,2008-10-01 00:00:00.0,,Election,2014-09-30 00:00:00.0,,Ne se représente pas,
14121F,M.,Jeansannetas,Éric,ACTIF,14264,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2020-09-30 00:00:00.0,,Fin de mandat,
14121F,M.,Jeansannetas,Éric,ACTIF,51883,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Renouvellement,,,En Cours,
04037F,M.,Jégou,Jean-Jacques,ANCIEN,10790,2004-09-26 00:00:00.0,2004-10-01 00:00:00.0,,Election,2011-09-30 00:00:00.0,,Non réélu,
08044W,Mme,Joissains,Sophie,ANCIEN,11654,2008-09-21 00:00:00.0,2008-10-01 00:00:00.0,,Election,2014-09-30 00:00:00.0,,Fin de mandat,
08044W,Mme,Joissains,Sophie,ANCIEN,14205,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Renouvellement,2020-08-02 00:00:00.0,,Démissionnaire,
83038V,M.,Jolibois,Charles,ANCIEN,313,1983-09-25 00:00:00.0,1983-10-02 00:00:00.0,,Election,1992-10-01 00:00:00.0,,Fin de mandat,
83038V,M.,Jolibois,Charles,ANCIEN,314,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Renouvellement 1,2001-09-30 00:00:00.0,,Non réélu,
95040D,M.,Joly,Bernard,ANCIEN,315,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Election,2004-09-30 00:00:00.0,,Ne se représente pas,
19531S,M.,Joly,Patrice,ACTIF,51309,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
19683J,M.,Jomier,Bernard,ACTIF,51177,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
20056C,Mme,Joseph,Else,ACTIF,51870,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Election,,,En Cours,
06006G,M.,Josselin,Charles,ANCIEN,11208,2006-09-24 00:00:00.0,2006-09-25 00:00:00.0,,Election,2008-09-30 00:00:00.0,,Ne se représente pas,
09001P,Mme,Jouanno,Chantal,ANCIEN,12818,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Election,2017-10-01 00:00:00.0,,Ne se représente pas,
58650R,M.,Jouany,André,ANCIEN,2989,,1978-08-28 00:00:00.0,,Remplace,1986-10-01 00:00:00.0,,Ne se représente pas,"En remplacement de M. Marceau HAMECHER, décédé"
14097Y,Mme,Jourda,Gisèle,ACTIF,14065,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2020-09-30 00:00:00.0,,Fin de mandat,
14097Y,Mme,Jourda,Gisèle,ACTIF,51847,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Renouvellement,,,En Cours,
19447X,Mme,Jourda,Muriel,ACTIF,51113,2017-09-24 00:00:00.0,2017-10-02 00:00:00.0,,Election,,,En Cours,
89004L,M.,Jourdain,André,ANCIEN,316,,1989-09-18 00:00:00.0,,Remplace,1992-10-01 00:00:00.0,,Fin de mandat,"En remplacement de M. Pierre BRANTUS, décédé"
89004L,M.,Jourdain,André,ANCIEN,317,1992-09-27 00:00:00.0,1992-10-02 00:00:00.0,,Renouvellement 1,2001-09-30 00:00:00.0,,Non réélu,
58039C,M.,Jourdan,Pierre,ANCIEN,2991,1971-09-26 00:00:00.0,1971-10-02 00:00:00.0,,Election,1980-10-01 00:00:00.0,,Non réélu,
98034T,M.,Journet,Alain,ANCIEN,5138,1998-09-27 00:00:00.0,1998-10-01 00:00:00.0,,Election,2008-09-30 00:00:00.0,,Ne se représente pas,
14241N,Mme,Jouve,Mireille,ANCIEN,14202,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Election,2020-09-30 00:00:00.0,,Non réélu,
95041E,M.,Joyandet,Alain,ACTIF,318,1995-09-24 00:00:00.0,1995-10-02 00:00:00.0,,Election,2002-06-18 00:00:00.0,,Élu député,
95041E,M.,Joyandet,Alain,ACTIF,14067,2014-09-28 00:00:00.0,2014-10-01 00:00:00.0,,Réélection,2020-09-30 00:00:00.0,,Fin de mandat,
95041E,M.,Joyandet,Alain,ACTIF,51837,2020-09-27 00:00:00.0,2020-10-01 00:00:00.0,,Renouvellement,,,En Cours,
58303Y,M.,Jozeau-Marigne,Léon,ANCIEN,2994,,1955-06-19 00:00:00.0,,Renouvellement 1,1959-04-27 00:00:00.0,,Fin de mandat,
58303Y,M.,Jozeau-Marigne,Léon,ANCIEN,2995,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Renouvellement 2,1965-10-01 00:00:00.0,,Fin de mandat,
58303Y,M.,Jozeau-Marigne,Léon,ANCIEN,2996,1965-09-26 00:00:00.0,1965-10-02 00:00:00.0,,Renouvellement 3,1974-10-01 00:00:00.0,,Fin de mandat,
58303Y,M.,Jozeau-Marigne,Léon,ANCIEN,2997,1974-09-22 00:00:00.0,1974-10-02 00:00:00.0,,Renouvellement,1983-03-03 00:00:00.0,,Nommé membre CC,
01030K,M.,Juilhard,Jean-Marc,ANCIEN,6436,2001-09-23 00:00:00.0,2001-10-01 00:00:00.0,,Election,2011-09-30 00:00:00.0,,Ne se représente pas,
59540Q,M.,Jung,Louis,ANCIEN,2999,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Election,1968-10-01 00:00:00.0,,Fin de mandat,
59540Q,M.,Jung,Louis,ANCIEN,3000,1968-09-22 00:00:00.0,1968-10-02 00:00:00.0,,Renouvellement 1,1977-10-02 00:00:00.0,,Fin de mandat,
59540Q,M.,Jung,Louis,ANCIEN,3001,1977-09-25 00:00:00.0,1977-10-03 00:00:00.0,,Renouvellement 2,1986-10-01 00:00:00.0,,Fin de mandat,
59540Q,M.,Jung,Louis,ANCIEN,3002,1986-09-28 00:00:00.0,1986-10-02 00:00:00.0,,Renouvellement 3,1995-10-01 00:00:00.0,,Ne se représente pas,
000225,M.,Junillon,Lucien,ANCIEN,3004,,1968-10-30 00:00:00.0,,Remplace,1971-10-01 00:00:00.0,,Non réélu,"En remplacement de M. Marius MOUTET, décédé"
000737,M.,Kalb,Paul-Jacques,ANCIEN,5522,,1958-06-08 00:00:00.0,,Renouvellement 2,1959-04-27 00:00:00.0,,Fin de mandat,
000737,M.,Kalb,Paul-Jacques,ANCIEN,5523,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Renouvellement 3,1964-08-07 00:00:00.0,,Décédé,
11084S,M.,Kaltenbach,Philippe,ANCIEN,12755,2011-09-25 00:00:00.0,2011-10-01 00:00:00.0,,Election,2017-10-01 00:00:00.0,,Ne se représente pas,
57208W,M.,Kamil,Mohamed,ANCIEN,9545,1959-04-26 00:00:00.0,1959-04-28 00:00:00.0,,Election,1965-10-01 00:00:00.0,,Non réélu,
